CodigoExterno,Nombre,CodigoEstado,FechaCierre,Estado,Descripcion
1003473-131-LP25,CONTRATO DE SUMINISTRO DE FRASCOS DE YODO PARA TAC PARA EL HOSPITAL SAN JUAN DE DIOS DE CURICÓ,6,2025-08-14T15:00:00,Cerrada,"Las presentes bases de Licitación Pública tienen la finalidad de celebrar el “CONTRATO DE SUMINISTRO DE FRASCOS DE YODO PARA TAC PARA EL HOSPITAL SAN JUAN DE DIOS DE CURICÓ” por 6 meses o hasta el consumo total del presupuesto asignado, para satisfacer de manera adecuada y eficiente la labor asistencial de los distintos Servicios Clínicos del Hospital San Juan de Dios de Curicó. El detalle sobre el “CONTRATO DE SUMINISTRO DE FRASCOS DE YODO PARA TAC PARA EL HOSPITAL SAN JUAN DE DIOS DE CURICÓ”, con sus respectivas cantidades estimativas de consumo por un periodo de 6 meses o hasta el consumo total del presupuesto y el presupuesto estimativo asignado, se especificarán en las respectivas resoluciones exentas que emita el hospital para estos efectos, y que tienen por objetivo autorizar e iniciar el respectivo proceso licitatorio en el portal www.mercadopúblico.cl."
1003473-145-LE25,CONTRATO DE SUMINISTRO DE SONDAS NELATON Y NASOGÁSTRICAS PARA EL HOSPITAL SAN JUAN DE DIOS DE CURICÓ,5,2025-08-25T15:01:00,Publicada,"Las presentes bases de Licitación Pública tienen la finalidad de celebrar el “CONTRATO DE SUMINISTRO DE SONDAS NELATON Y NASOGÁSTRICAS PARA EL HOSPITAL SAN JUAN DE DIOS DE CURICÓ” por 24 meses, para satisfacer de manera adecuada y eficiente la labor asistencial de los distintos Servicios Clínicos del Hospital San Juan de Dios de Curicó. El detalle sobre el “CONTRATO DE SUMINISTRO DE SONDAS NELATON Y NASOGÁSTRICAS PARA EL HOSPITAL SAN JUAN DE DIOS DE CURICÓ”, con sus respectivas cantidades estimativas de consumo por un periodo de 24 meses y el presupuesto estimativo asignado, se especificarán en las respectivas resoluciones exentas que emita el hospital para estos efectos, y que tienen por objetivo autorizar e iniciar el respectivo proceso licitatorio en el portal www.mercadopúblico.cl."
1004823-21-LE25,ADQUISICIÓN E INSTALACIÓN DE CONTENEDOR TIPO OFICINA PARA UTILIZADO EN SEDE ARIZTÍA DEL CFT ESTATAL DE LA REGIÓN DE COQUIMBO,8,2025-08-04T15:01:00,Adjudicada,ADQUISICIÓN E INSTALACIÓN DE CONTENEDOR TIPO OFICINA PARA UTILIZADO EN SEDE ARIZTÍA DEL CFT ESTATAL DE LA REGIÓN DE COQUIMBO
1016-11-O125,Solución Basada en Naturaleza para Provisión Agua,6,2025-08-14T10:00:00,Cerrada,"Desarrollar una cartera de proyectos de infraestructura hídrica que incorporen Soluciones basadas en la Naturaleza SbN orientadas a la provisión y regulación de agua, junto con iniciativas piloto y herramientas estratégicas que contribuyan a su implementación progresiva, en respuesta a los desafíos de adaptación al cambio climático y reducción del riesgo de desastres, en concordancia con el marco normativo nacional y las recomendaciones técnicas vigentes."
1019-101-LE25,PROCESO DE ACTUALIZACIÓN DE VIGENCIA DE TITULARES,6,2025-08-14T10:03:00,Cerrada,"El objetivo general de la presente licitación pública denominada “PROCESO DE ACTUALIZACIÓN DE VIGENCIA DE TITULARES DE DERECHOS DE APROVECHAMIENTO DE AGUAS AFECTOS AL PAGO DE PATENTE POR NO UTILIZACIÓN DE LAS AGUAS”, es determinar los titulares vigentes de derechos de aprovechamiento de aguas -D.A.A.-, singularizados en 252 numerales de la Región de La Araucanía, que en la actualidad se encuentran sin información actualizada referente a la inscripción en el Registro de Propiedad de Aguas del respectivo Conservador de Bienes Raíces, por medio de la indagación directa de sus respectivas inscripciones en los Registros de Propiedad de Aguas en los respectivos Conservadores de Bienes Raíces. Quien se adjudique el contrato dispondrá de una copia simple de la resolución que constituyó el derecho de aprovechamiento respectivo o certificado del Registro Público de Aguas. Adicionalmente, la Dirección General de Aguas emitirá un Ordinario dirigido a los Conservadores de Bienes Raíces, en donde se especificará la realización del contrato por parte de la adjudicataria Contratista de la presente licitación."
1019-106-L125,CONTRATACIÓN SERVICIO DE ELIMINACIÓN Y DISPOSICIÓN FINAL DE RESIDUOS DE LABORATORIO AMBIENTAL D.G.A,5,2025-08-22T16:00:00,,
1019-98-LE25,SERVICIO DE PROCESAMIENTO DE INFORMACIÓN REMITIDA POR LOS CONSERVADORES DE BIENES RAÍCES REFERIDA AL CATASTRO PÚBLICO DE AGUAS,8,2025-08-06T15:00:00,Adjudicada,"El Objetivo General de la prestación de servicios denominada “SERVICIO DE PROCESAMIENTO DE INFORMACIÓN REMITIDA POR LOS CONSERVADORES DE BIENES RAÍCES, REFERIDA AL CATASTRO PÚBLICO DE AGUAS” es incorporar, sistematizar y cargar en el aplicativo del Catastro Público de Aguas la información contenida en las inscripciones remitidas por los Conservadores de Bienes Raíces (CBR) a nivel nacional, recepcionadas por el Departamento de Administración de Recursos Hídricos (en adelante D.A.R.H) , con el fin de disponibilizar un acceso ágil y transparente a dicha información para la ciudadanía, mejorando la calidad de los antecedentes sobre los Derechos de Aprovechamiento de Aguas y fortaleciendo la certeza y seguridad jurídica respecto de su vigencia, actualizando sistemáticamente de los datos contenidos en aplicativo. NOTA: Cabe señalar que la referencia a la “Actualización del aplicativo del Catastro Público de Aguas” no alude a modificaciones técnicas o de software, sino al proceso de carga, incorporación y validación de nueva información proveniente de las inscripciones de derechos de aprovechamiento de aguas emitidas entre los años anteriores e inclusive años 2023, 2024 y 2025 por parte de los Conservadores de Bienes Raíces. Es decir, se trata de una actualización de contenidos y no funcional del aplicativo."
1020-52-LE25,SEGUNDO LLAMADO HABILITACION OFICINAS PROV E INST ,6,2025-08-14T15:00:00,Cerrada,"Que, el objetivo de la contratación es, contar con la habilitación integral de oficinas en el Edificio Central del Ministerio de Obras Públicas, mediante el suministro e instalación de estructura metálica, escalera, cierres, terminaciones y sistemas eléctricos."
1020-61-LP25,EQUIPOS DE TELEFONIA SATELITAL Y CONTRATACION SERV,5,2025-09-02T15:00:00,Publicada,"El objetivo es adquirir 19 equipos de teléfonía satelital marca Iridium o equivalente asociado a un plan de operación con la Contratación de su Servicio de Telefonía Satelital de la misma marca, para autoridades nacionales, autoridades regionales y los equipos de trabajo del Ministerio de Obras Públicas."
1020-62-LR25,Upgrade GIS ESRI para el MOP,5,2025-09-25T15:00:00,Publicada,"Proyecto upgrade GIS ESRI. El Ministerio Obras Públicas, tiene como objetivo realizar un análisis de la situación actual, diseñar e implementar una nueva arquitectura, diseño y ejecución del upgrade del producto instalación y configuración, así como el diseño y ejecución de la migración de aplicaciones, componentes y datos. Desde versiones antiguas actuales a versiones nuevas. Considerando mantener operativa la solución coexistiendo en diferentes versiones, mientras se realiza el proceso."
1026727-22-LE25,Adquisicion de un sistema de entrenamiento CA,5,2025-08-25T17:30:00,Publicada,"Que, mediante requerimiento Nº1838/2025, de la carrera TNS MMP del CFT Estatal de la Región de Tarapacá se solicita contratar la ADQUISICION DE UN SISTEMA DE ENTRENAMIENTO DE MOTOR DE CA TRIFASICO PARA LA CARRERA TNS MECANICO MANTENIMIENTO PREDICTIVO DEL CFT ESTATAL TARAPACA."
1028897-27-LE25,SUMINISTRO DE TRASLADO ACTIVIDADES EXTRAESCOLARES,15,2025-08-14T08:10:38.707,Revocada,"El Servicio Local de Educación Pública Costa Araucanía, en adelante “El Servicio Local”, “El Servicio” o “SLEP”, requiere la adquisición denominada “Suministro continuo de traslado para actividades extraescolares, del Servicio Local de Educación Pública Costa Araucanía”, de acuerdo con las condiciones establecidas en las presentes Bases Administrativas, Bases Técnicas y sus Anexos."
1030177-5-LP25,CONTRATO DE SUMINISTRO DE ALIMENTACIÓN CON Y SIN SALÓN QUILLÓN 2025,7,2025-08-14T12:20:49.2,Desierta (o art. 3 ó 9 Ley 19.886),"Que se requiere disponer de contrato de suministro, con el objeto de acceder a una gama de productos indispensables para el buen funcionamiento del servicio y de este modo atender los requerimientos que emanan en pro de la atención diaria que se entrega a la comunidad y la gestión administrativa que se ejecuta a diario desde las diferentes oficinas que componen el municipio."
1032614-5-LE25, Proyecto Campo Vigilante Ruralidad Protegida,6,2025-08-14T10:00:00,Cerrada,"Servicio de instalación de Cámaras de Televigilancia destinadas a la ejecución del proyecto denominado “Campo Vigilante, Ruralidad Protegida”, en las principales intersecciones de accesos de la Circunvalación Agrícola, que forman parte de los puntos estratégicos, a objeto de aumentar la sensación de seguridad de los vecinos de los distintos sectores que se verán involucrados"
1035206-10-LE25,ADQUISICIÓN DE MATERIALES Y ELEMENTOS DE PROTECCIÓN PERSONAL PARA PARTICIPANTES PROGRAMA CAPACITACIÓN EN OFICIOS LINEA ESTUDIOS SUPERIORES 2025,5,2025-08-25T15:00:00,Publicada,"El Centro de Formación Técnica de la Región de Valparaíso, en adelante también “el CFT de la Región de Valparaíso” o “el CFT”, llama a licitación pública con el objeto de contar con La “ADQUISICIÓN DE MATERIALES Y ELEMENTOS DE PROTECCIÓN PERSONAL PARA PARTICIPANTES PROGRAMA CAPACITACIÓN EN OFICIOS, LINEA ESTUDIOS SUPERIORES 2025”, con el fin de adquirir materiales y elementos de protección personal para las(os) participantes de los cursos de capacitación de los convenios firmados con el Servicio Nacional de Capacitación y Empleo (SENCE), necesarios para el desarrollo de las clases presenciales de los cursos respectivos a ejecutarse en cada una de las sedes, cuyos requisitos constan en estas bases y que forman parte integral para todos los efectos."
1035206-9-LE25,SERVICIO DE VIGILANCIA PARA SUBSEDE LIMACHE,8,2025-08-07T15:00:00,Adjudicada,"El Centro de Formación Técnica de la Región de Valparaíso, en adelante “CFT de la Región de Valparaíso” o “CFT”, requiere para un adecuado funcionamiento de la subsede de Limache, la contratación del servicio de vigilancia que tengan como función de controlar y supervisar el ingreso al edificio, dicha sede se encuentra ubicada en calle Palmira Romano Oriente 11, ciudad de Limache."
1043030-12-L125,JORNADAS DE LA SECRETARIA REGIONAL MINISTERIAL DE EDUCACIÓN ,5,2025-08-21T15:01:00,,
1043046-11-LE25,DISTRIBUCIÓN DE SSR Canchillas sector Cerro Negro,5,2025-08-25T17:00:00,Publicada,"a Dirección de Obras Hidráulicas DOH Regional de Ñuble ha reportado la situación que afecta al Sistema Sanitario Rural S.S.R. de Canchillas, comuna de Quillón, señalando que presenta un déficit hídrico severo, debido a la disminución del nivel freático y a la pérdida de capacidad de producción del pozo, que actualmente se encuentra prácticamente seco"
1043046-12-LE25,COBERTURA DEMANDA INSATISFECHA RUCAPEQUEN,5,2025-08-25T17:00:00,Publicada,"contratar servicios de entrega de agua potable en aljibes, para cubrir demanda insatisfecha de usuarios del Sistema Sanitario Rural S.S.R. Rucapequén, en Chillán Viejo"
1048-43-LE25,Adq. Equipos de Audio y Amplificacion año 2025,7,2025-08-14T15:38:29.303,Desierta (o art. 3 ó 9 Ley 19.886),Adquisicion de equipos de audio y amplificacion segun especificaciones tecnicas
1048-56-CO25,CONSTR. REFUGIOS PEATONALES TAXISTAS EL TABO,5,2025-08-29T13:00:00,Publicada,"Ejecución de Proyecto denominado CONSTRUCCION DE REFUGIOS ÑEATONALES TAXISTAS, CENTRO EL TABO consiste en construcción de 02 refugios peatonales para paradas de taxis, en el centro del tabo."
1048-57-LE25,Adq. Equipos de Audio y Amplificacion año 2025,5,2025-08-22T17:00:00,Publicada,"PROVEER DE INSUMOS Y EQUIPOS DE AUDIO Y AMPLIFICACION PARA LA DIRECCION DE DIDECO, MUNICIPALIDAD DE EL TABO"
1051425-49-LE25,Suministro de 800 m3 de base granular chancada,6,2025-08-14T12:35:00,Cerrada,"La dirección de vialidad requiere contratar “Suministro de 800 m3 de base granular chancada, puesta en acopio para caminos de la red vial de la dirección de vialidad en la comuna de Quillón, Provincia de Diguillin, Región de Ñuble”, para dar cumplimiento al programa de conservación por administración directa año 2025"
1051425-50-LP25,Suministro de 9.000m3 de base granular chancada,6,2025-08-14T12:19:00,Cerrada,"La dirección de vialidad requiere contratar el “Suministro de 9.000m3 de base granular chancada, puesta sobre plataforma en caminos de la red vial de la Dirección de Vialidad en las comunas de Pemuco y Yungay, Provincia de Diguillin, Región de Ñuble”, para dar cumplimiento al programa de conservación por administración directa año 2025."
1051425-53-LE25,Sum. 12000 Sacos de Asfalto en Frio de 20Kg. DRV.,5,2025-08-20T15:01:00,Publicada,"La Dirección de Vialidad Región de Ñuble, solicita ofertas para el “Suministro de 12000 sacos de asfalto de 20 kg de mezcla asfáltica en frío predosificadas, para faenas de bacheo superficial, en distintos caminos de la red vial de la Región de Ñuble”, conforme a los requerimientos administrativos y técnicos descritos en las presentes Bases de Licitación."
1057049-166-LE25,PTF SUM. CAGE LUMBAR PARA TECNICA TLIF,7,2025-08-14T17:29:44.79,Desierta (o art. 3 ó 9 Ley 19.886),VER BASES ADJUNTAS
1057049-168-LP25,CAPS  ASAS DRENAJES Y OTROS INSUMOS,8,2025-06-27T15:30:00,Adjudicada,"El objetivo de la licitación será la adquisición de ASAS, DRENAJE Y OTROS INSUMOS PARA EL SERVICIO DE OBSTETRICIA, individualizados en las bases técnicas y anexos respectivos, los que se entiende forman parte integrante de las presentes bases administrativas."
1057049-171-LE25,GSP SUMINISTRO DE TEST DE ANTÍGENO SARS COV 2,8,2025-06-26T15:30:00,Adjudicada,"El objetivo de la Propuesta es el SUMINISTRO DE TEST DE ANTÍGENO SARS COV 2 para el Hospital Clínico San Borja Arriarán, solicitados en las especificaciones técnicas, en concordancia con las Bases Administrativas, Técnicas, Formularios, aclaraciones y otros documentos que pudieran formularse en el transcurso de la licitación. Se entenderá que todo proveedor conoce y acepta irrevocablemente el contenido de estas Bases, por el solo hecho de presentar ofertas en este proceso de licitación."
1057049-208-LQ25,PTF ADQUISICION KIT RADIOFRECUENCIA Y OTROS INSUMOS NEUROCIRUGIA,15,2025-08-14T10:31:50.31,Revocada,VER BASES ADJUNTAS
1057055-85-LE25,GSP SUMINISTRO DE MEDICAMENTO CLARITROMICINA 500 MG,6,2025-08-14T15:30:00,Cerrada,"El objetivo de la Propuesta es el SUMINISTRO DE MEDICAMENTO CLARITROMICINA 500 MG para el Hospital Clínico San Borja Arriarán, solicitados en las especificaciones técnicas, en concordancia con las Bases Administrativas, Técnicas, Formularios, aclaraciones y otros documentos que pudieran formularse en el transcurso de la licitación. Se entenderá que todo proveedor conoce y acepta irrevocablemente el contenido de estas Bases, por el solo hecho de presentar ofertas en este proceso de licitación."
1057384-109-LE25,SUMINISTRO DE PAN FRESCO PARA PACIENTES,6,2025-08-14T15:30:00,Cerrada,SUMINISTRO DE PAN FRESCO PARA PACIENTES
1057384-116-LE25,TECNOLOGO MEDICO PARA IMAGENOLOGIA Y FISICA MEDICA,15,2025-08-14T11:43:51.123,Revocada,CONTAR CON LA COMPRA DE SERVICIO POR TECNOLOGO MEDICO PARA IMAGENOLOGIA Y FISICA MEDICA
1057384-117-L125,PROFESIONAL TECNOLOGO MEDICO DE IMAGENOLOGIA Y FISICA HOSPITAL DE TOCOPILLA,5,2025-08-22T16:10:00,,
1057384-118-L125,SERVICIO DE COFFE PARA 150 PERSONAS ,5,2025-08-22T20:11:00,,
1057384-94-L125,Suministro de reactivos para Laboratorio Clínico Hospital de Tocopilla.,8,2025-07-14T17:00:00,,
1057389-70-LP25,INTERVENCIONES QUIRURGICAS CATARATAS GES,5,2025-09-03T16:00:00,Publicada,"Las presentes bases de licitación, tienen por objeto la Contratación de Servicios Médicos Quirúrgicos de Cirugía Oftalmológica de Cataratas para el Hospital San José de Victoria."
1057402-153-LE25,Suministro de Equipos Secundarios de Gases Clínicos para el Hospital Clínico de Magallanes,8,2025-06-27T15:00:00,Adjudicada,"El propósito de la licitación es contar con un contrato de “Suministro de Equipos Secundarios de Gases Clínicos para el Hospital Clínico de Magallanes”, de acuerdo con lo establecido en las presentes Bases Administrativas y Técnicas, en las circunstancias que estos productos no son provistos en catálogo electrónico del Convenio Marco. La contratación del suministro de la presente licitación está incorporada en el plan anual de compras proyectado para los años de vigencia del contrato. El plan de compras será publicado en la plataforma www.mercadopublico.cl en la oportunidad que corresponda."
1057402-179-LE25,INSUMOS ELECTROMIOGRAFÍA Y ELECTROENCEFALOGRAMA,6,2025-08-14T15:00:00,Cerrada,"El propósito de la licitación es contar con contratos de suministro por la adquisición de “INSUMOS PARA ELECTROMIOGRAFÍA Y ELECTROENCEFALOGRAMA HCM 2026-2027”, que permitan el aprovisionamiento oportuno de los productos necesarios en la atención de los usuarios del Hospital para los años 2026 – 2027, en las circunstancias que estos productos no fueran provistos por la Central Nacional de Abastecimiento de los Servicios de Salud, ni se encuentren disponibles en catálogos electrónicos del Convenio Marco, en las Compras Coordinadas y/o Compras Conjuntas del Ministerio de Salud, o bien su adquisición sea desventajosa respecto al resultado de la presente licitación, ni existen en propiedad de otros organismo del Estado o servicios compartidos que permitan satisfacer el requerimiento, cuyas condiciones más ventajosas serán informadas en la oportunidad correspondiente a la Dirección de Compras, en conformidad con lo dispuesto en el D.S. Nº 661, de 2024, del Ministerio de Hacienda. El contrato de suministro anteriormente indicado se hará efectivo cada vez que sea necesario, a través de la emisión de órdenes de compra enviadas al proveedor adjudicado mediante la plataforma www.mercadopublico.cl. Sin perjuicio de lo anterior, durante todo el periodo de vigencia del contrato, los productos serán solicitados en la oportunidad del mes que el Hospital estime pertinente, comprometiéndose el oferente adjudicado a difundir esta modalidad de compra a todas las instancias que participan en su proceso de ventas. Los insumos/productos de la presente licitación están incorporados en el plan anual de compras proyectado para los años de vigencia del contrato. El plan de compras será publicado en la plataforma www.mercadopublico.cl en la oportunidad que corresponda."
1057402-192-LE25,INSUMO PARA EQUIPO PLETISMÓGRAFO HCM 2026-2028,5,2025-08-25T15:00:00,Publicada,"El propósito de la licitación es contar con un contrato de suministro por la adquisición de “INSUMOS PARA EQUIPO PLETISMÓGRAFO HCM 2026-2028”, para el funcionamiento del equipo pletismógrafo Medgraphics y que permitan el aprovisionamiento oportuno de los productos necesarios en la atención de los usuarios del Hospital para los años 2026 – 2028, en las circunstancias que estos productos no fueran provistos por la Central Nacional de Abastecimiento de los Servicios de Salud, ni se encuentren disponibles en catálogos electrónicos del Convenio Marco, en las Compras Coordinadas y/o Compras Conjuntas del Ministerio de Salud, o bien su adquisición sea desventajosa respecto al resultado de la presente licitación, ni existen en propiedad de otros organismo del Estado o servicios compartidos que permitan satisfacer el requerimiento, cuyas condiciones más ventajosas serán informadas en la oportunidad correspondiente a la Dirección de Compras, en conformidad con lo dispuesto en el D.S. Nº 661, de 2024, del Ministerio de Hacienda."
1057402-199-LQ25,INSUMOS PABELLÓN NEUROCIRUGÍA,5,2025-09-03T15:00:00,Publicada,"El propósito de la licitación es contar con contratos de suministro por la adquisición de “INSUMOS PABELLÓN NEUROCIRUGÍA”, que permitan el aprovisionamiento oportuno de los productos necesarios en la atención de los usuarios del Hospital para los años 2026 - 2027, en las circunstancias que estos productos no fueran provistos por la Central Nacional de Abastecimiento de los Servicios de Salud, ni se encuentren disponibles en catálogos electrónicos del Convenio Marco, en las Compras Coordinadas yo Compras Conjuntas del Ministerio de Salud, o bien su adquisición sea desventajosa respecto al resultado de la presente licitación, ni existen en propiedad de otros organismo del Estado o servicios compartidos que permitan satisfacer el requerimiento, cuyas condiciones más ventajosas serán informadas en la oportunidad correspondiente a la Dirección de Compras, en conformidad con lo dispuesto en el D.S. Nº 661, de 2024, del Ministerio de Hacienda."
1057402-200-LP25,MEDIAS Y CALCETÍN ANTIEMBÓLICAS,5,2025-09-03T15:00:00,Publicada,"El propósito de la licitación es contar con contratos de suministro por la adquisición de “MEDIAS Y CALCETÍN ANTIEMBÓLICAS”, que permitan el aprovisionamiento oportuno de los productos necesarios en la atención de los usuarios del Hospital para los años 2026 - 2027, en las circunstancias que estos productos no fueran provistos por la Central Nacional de Abastecimiento de los Servicios de Salud, ni se encuentren disponibles en catálogos electrónicos del Convenio Marco, en las Compras Coordinadas yo Compras Conjuntas del Ministerio de Salud, o bien su adquisición sea desventajosa respecto al resultado de la presente licitación, ni existen en propiedad de otros organismo del Estado o servicios compartidos que permitan satisfacer el requerimiento, cuyas condiciones más ventajosas serán informadas en la oportunidad correspondiente a la Dirección de Compras, en conformidad con lo dispuesto en el D.S. Nº 661, de 2024, del Ministerio de Hacienda."
1057402-201-LR25,PROTESIS DENTALES HCM 2025-2027,5,2025-09-15T15:00:00,Publicada,"El propósito de la licitación es contar con contrato de suministro de “PROTESIS DENTALES HCM 2025-2027”, que permita el aprovisionamiento oportuno de los productos necesarios en la atención de los usuarios del Hospital para los años 2025 - 2027, en las circunstancias que estos productos no fueran provistos por la Central Nacional de Abastecimiento de los Servicios de Salud, ni se encuentren disponibles en catálogos electrónicos del Convenio Marco, Compra Ágil, en las Compras Coordinadas y/o Compras Conjuntas del Ministerio de Salud, o bien su adquisición sea desventajosa respecto al resultado de la presente licitación, cuyas condiciones más ventajosas serán informadas en la oportunidad correspondiente a la Dirección de Compras, en conformidad con lo dispuesto en el D.S. Nº661 de 2004, del Ministerio de Hacienda. El contrato de suministro anteriormente indicado se hará efectivo cada vez que sea necesario, a través de la emisión de órdenes de compra enviadas al proveedor adjudicado mediante la plataforma www.mercadopublico.cl. Sin perjuicio de lo anterior, durante todo el periodo de vigencia del contrato, los productos serán solicitados en la oportunidad del mes que el Hospital estime pertinente, comprometiéndose el oferente adjudicado a difundir esta modalidad de compra a todas las instancias que participan en su proceso de ventas. Los insumos/productos de la presente licitación están incorporados en el plan anual de compras proyectado para los años de vigencia del contrato. El plan de compras será publicado en la plataforma www.mercadopublico.cl en la oportunidad que corresponda."
1057402-202-LR25,INSUMOS HEMODINAMIA CORONARIA STENT Y BALONES,5,2025-09-15T15:00:00,Publicada,"“INSUMOS HEMODINAMIA CORONARIA STENT Y BALONES”, que permitan el aprovisionamiento oportuno de los productos necesarios en la atención de los usuarios del Hospital para los años 2026 - 2027, en las circunstancias que estos productos no fueran provistos por la Central Nacional de Abastecimiento de los Servicios de Salud, ni se encuentren disponibles en catálogos electrónicos del Convenio Marco, en las Compras Coordinadas yo Compras Conjuntas del Ministerio de Salud, o bien su adquisición sea desventajosa respecto al resultado de la presente licitación, ni existen en propiedad de otros organismo del Estado o servicios compartidos que permitan satisfacer el requerimiento, cuyas condiciones más ventajosas serán informadas en la oportunidad correspondiente a la Dirección de Compras, en conformidad con lo dispuesto en el D.S. Nº 661, de 2024, del Ministerio de Hacienda."
1057402-203-LR25,INSUMOS GENERALES MASCARILLAS GUANTES PECHERAS Y OTROS ,5,2025-09-15T15:00:00,Publicada,"El propósito de la licitación es contar con contratos de suministro por la adquisición de “INSUMOS GENERALES MASCARILLAS, GUANTES, PECHERAS Y OTROS”, que permitan el aprovisionamiento oportuno de los productos necesarios en la atención de los usuarios del Hospital para los años 2026 - 2027, en las circunstancias que estos productos no fueran provistos por la Central Nacional de Abastecimiento de los Servicios de Salud, ni se encuentren disponibles en catálogos electrónicos del Convenio Marco, en las Compras Coordinadas y/o Compras Conjuntas del Ministerio de Salud, o bien su adquisición sea desventajosa respecto al resultado de la presente licitación, ni existen en propiedad de otros organismo del Estado o servicios compartidos que permitan satisfacer el requerimiento, cuyas condiciones más ventajosas serán informadas en la oportunidad correspondiente a la Dirección de Compras, en conformidad con lo dispuesto en el D.S. Nº 661, de 2024, del Ministerio de Hacienda."
1057402-338-R125,LICITACION INSUMOS DE ESCRITORIO 2025-2027,8,2025-02-13T15:00:00,Adjudicada,"El propósito de la licitación es contar con contratos de suministro por la adquisición de “INSUMOS DE ESCRITORIO 2025-2027”, que permitan el aprovisionamiento oportuno de los productos necesarios en la atención de los usuarios del Hospital para los años 2025 - 2027, en las circunstancias que estos productos no fueran provistos por la Central Nacional de Abastecimiento de los Servicios de Salud, ni se encuentren disponibles en catálogos electrónicos del Convenio Marco, en las Compras Coordinadas y/o Compras Conjuntas del Ministerio de Salud, o bien su adquisición sea desventajosa respecto al resultado de la presente licitación, ni existen en propiedad de otros organismo del Estado o servicios compartidos que permitan satisfacer el requerimiento, cuyas condiciones más ventajosas serán informadas en la oportunidad correspondiente a la Dirección de Compras, en conformidad con lo dispuesto en el D.S. Nº 661, de 2024, del Ministerio de Hacienda."
1057415-48-LE25,CANASTAS INTEGRALES DE OTORRINOLARINGOLOGÍA,6,2025-08-14T12:14:00,Cerrada,"Que, la Unidad de Abastecimiento del Hospital Familiar Comunitario de Nacimiento ha recibido solicitud de adquisición N°36790, emitida por la Unidad SOME, quien solicita se realice la contratación de canastas integrales de otorrinolaringología asociadas al programa de resolutividad."
